date,state,zhvi
2000-01-01,Alabama,98443.06719674647
2000-02-01,Alabama,98614.49200872568
2000-03-01,Alabama,98729.34996797024
2000-04-01,Alabama,98986.66618743376
2000-05-01,Alabama,99273.66061954822
2000-06-01,Alabama,99620.64838732034
2000-07-01,Alabama,99941.94581416973
2000-08-01,Alabama,100232.30237882724
2000-09-01,Alabama,100543.76217532676
2000-10-01,Alabama,100901.14735908822
2000-11-01,Alabama,101305.696908083
2000-12-01,Alabama,101753.64464597462
2001-01-01,Alabama,102254.02037080232
2001-02-01,Alabama,102677.78763570338
2001-03-01,Alabama,103027.00701037992
2001-04-01,Alabama,103278.7987562007
2001-05-01,Alabama,103528.09946041153
2001-06-01,Alabama,103784.79377247284
2001-07-01,Alabama,104075.20698831032
2001-08-01,Alabama,104333.44993682957
2001-09-01,Alabama,104623.61505036736
2001-10-01,Alabama,104957.13783832634
2001-11-01,Alabama,105284.1650327638
2001-12-01,Alabama,105527.08682993196
2002-01-01,Alabama,105670.58948945333
2002-02-01,Alabama,105825.5745428926
2002-03-01,Alabama,105956.10945851592
2002-04-01,Alabama,106103.91221908208
2002-05-01,Alabama,106292.06655513226
2002-06-01,Alabama,106526.20655932208
2002-07-01,Alabama,106798.3648074981
2002-08-01,Alabama,107043.03690405484
2002-09-01,Alabama,107302.77577600656
2002-10-01,Alabama,107562.34384504647
2002-11-01,Alabama,107836.7212657871
2002-12-01,Alabama,108116.34461700672
2003-01-01,Alabama,108359.33198016226
2003-02-01,Alabama,108633.40460442158
2003-03-01,Alabama,108914.31539063604
2003-04-01,Alabama,109261.20169535789
2003-05-01,Alabama,109569.9346855902
2003-06-01,Alabama,109849.62423972576
2003-07-01,Alabama,110114.66084208262
2003-08-01,Alabama,110400.20419886587
2003-09-01,Alabama,110710.2624428366
2003-10-01,Alabama,110985.48413306494
2003-11-01,Alabama,111263.69603873166
2003-12-01,Alabama,111522.1731762176
2004-01-01,Alabama,111790.36610175716
2004-02-01,Alabama,112045.01114861813
2004-03-01,Alabama,112330.23079981054
2004-04-01,Alabama,112621.60520661242
2004-05-01,Alabama,112980.92334238034
2004-06-01,Alabama,113430.73491850158
2004-07-01,Alabama,113966.63089135132
2004-08-01,Alabama,114476.43532325776
2004-09-01,Alabama,114944.38686024737
2004-10-01,Alabama,115425.75139086095
2004-11-01,Alabama,115998.70818886852
2004-12-01,Alabama,116617.6687317787
2005-01-01,Alabama,117149.52487704396
2005-02-01,Alabama,117567.90618717042
2005-03-01,Alabama,117882.19514116716
2005-04-01,Alabama,118202.85062788623
2005-05-01,Alabama,118552.87381681411
2005-06-01,Alabama,118983.76343395624
2005-07-01,Alabama,119480.2083914694
2005-08-01,Alabama,120003.9660071106
2005-09-01,Alabama,120544.72254755984
2005-10-01,Alabama,121180.72344836568
2005-11-01,Alabama,121967.63410883283
2005-12-01,Alabama,122839.90449203255
2006-01-01,Alabama,123727.33261304344
2006-02-01,Alabama,124609.46470537026
2006-03-01,Alabama,125583.06269879668
2006-04-01,Alabama,126615.87389022626
2006-05-01,Alabama,127637.41594839992
2006-06-01,Alabama,128615.7835548575
2006-07-01,Alabama,129525.81605724804
2006-08-01,Alabama,130464.10488746825
2006-09-01,Alabama,131281.93639961744
2006-10-01,Alabama,132008.96906147824
2006-11-01,Alabama,132462.3258163185
2006-12-01,Alabama,132806.22626604172
2007-01-01,Alabama,133002.66060257217
2007-02-01,Alabama,133444.30223297558
2007-03-01,Alabama,133983.5771111832
2007-04-01,Alabama,134675.86994389692
2007-05-01,Alabama,135094.898727973
2007-06-01,Alabama,135370.53479521387
2007-07-01,Alabama,135463.00188965406
2007-08-01,Alabama,135587.26967906815
2007-09-01,Alabama,135686.6803746056
2007-10-01,Alabama,135774.8566908547
2007-11-01,Alabama,135762.3271954944
2007-12-01,Alabama,135667.6032963377
2008-01-01,Alabama,135461.91700899656
2008-02-01,Alabama,135252.35314916202
2008-03-01,Alabama,135010.86525224362
2008-04-01,Alabama,134829.64154799705
2008-05-01,Alabama,134713.12553615382
2008-06-01,Alabama,134697.30193634905
2008-07-01,Alabama,134645.2695868182
2008-08-01,Alabama,134409.11395384712
2008-09-01,Alabama,134121.35002191956
2008-10-01,Alabama,133714.16646196562
2008-11-01,Alabama,133365.28645347737
2008-12-01,Alabama,132855.15412702644
2009-01-01,Alabama,132426.9637275558
2009-02-01,Alabama,131938.2479372508
2009-03-01,Alabama,131460.92044832036
2009-04-01,Alabama,130860.00081396996
2009-05-01,Alabama,130267.81553998758
2009-06-01,Alabama,129648.3356531543
2009-07-01,Alabama,129056.0466545106
2009-08-01,Alabama,128442.05856338765
2009-09-01,Alabama,127856.27265596535
2009-10-01,Alabama,127370.18978437391
2009-11-01,Alabama,126974.87897936272
2009-12-01,Alabama,126651.39122918244
2010-01-01,Alabama,126452.28332565531
2010-02-01,Alabama,126310.08926165802
2010-03-01,Alabama,126041.72911612816
2010-04-01,Alabama,125661.5750988394
2010-05-01,Alabama,125211.08125920176
2010-06-01,Alabama,124761.54203832986
2010-07-01,Alabama,124176.67536054378
2010-08-01,Alabama,123533.74063693598
2010-09-01,Alabama,122945.17916336367
2010-10-01,Alabama,122469.8339246466
2010-11-01,Alabama,121917.5260896976
2010-12-01,Alabama,121267.2123772342
2011-01-01,Alabama,120572.72422956664
2011-02-01,Alabama,119969.9074969737
2011-03-01,Alabama,119544.51560853812
2011-04-01,Alabama,119204.8881211978
2011-05-01,Alabama,118945.89365518036
2011-06-01,Alabama,118671.578378331
2011-07-01,Alabama,118370.2917795566
2011-08-01,Alabama,118063.5881470972
2011-09-01,Alabama,117717.09537473002
2011-10-01,Alabama,117358.53245792713
2011-11-01,Alabama,116903.81621655682
2011-12-01,Alabama,116523.14873782588
2012-01-01,Alabama,116381.37991287687
2012-02-01,Alabama,116443.78178748648
2012-03-01,Alabama,116770.89171778644
2012-04-01,Alabama,117271.22624021964
